,z,a,H_natural,H_obs_km_s_Mpc
432,23.909993948959652,0.040144530024735885,39.46182284201438,3113932440.4633546
431,24.129187962084888,0.03979436189935018,39.98513479954153,3155226987.0318217
430,24.35031075991751,0.03944724818052897,40.515398059817585,3197070060.9002056
429,24.573379314684058,0.039103162225643244,41.052705213272496,3239468968.3793325
428,24.798410747957192,0.03876207762445923,41.597150089212036,3282431113.539722
427,25.0254223319698,0.038423968197111386,42.148827772516064,3325963999.5292425
426,25.254431490940775,0.03808880799209288,42.707834620564824,3370075229.90877
425,25.485455802412403,0.03775657128426372,43.27426828039592,3414772510.0060425
424,25.718512998599486,0.037427232572876244,43.84822770609537,3460063648.287986
423,25.95362096775041,0.0371007665796178,44.42981317642616,3505956557.751788
422,26.190797755520144,0.036777148246670506,45.019126312697274,3552459257.334942
421,26.4300615663553,0.03645635273478799,45.61627009687682,3599579873.3445497
420,26.671430764891486,0.03613835542138876,46.22134888995261,3647326640.9061604
419,26.914923877362792,0.03582313189866642,46.83446845054332,3695707905.4323735
418,27.160559593023805,0.0355106579717162,47.45573595376416,3744732124.11153
417,27.40835676558414,0.03520090965667784,48.08526001035057,3794407867.4167633
416,27.65833441465546,0.034893863178894806,48.72315068604288,3844743820.6356435
415,27.910511727211397,0.03458949497108941,49.36951952123658,3895748785.4207788
414,28.16490805906022,0.03428778167155391,50.02447955090117,3947431681.3616114
413,28.421542936330454,0.033988700122357454,50.68814532477145,3999801547.577715
412,28.680436056969693,0.03369222736756846,51.36063292781552,4052867544.333923
411,28.941607292256393,0.0333983406514928,52.042060000982545,4106638954.6775327
410,29.205076688325168,0.0331070174169271,52.73254576223496,4161125186.097961
409,29.470864467705415,0.032818235303427354,53.432211027868775,4216335772.209125
408,29.73899103087346,0.032531972145592725,54.141178234125725,4272280374.454861
407,30.009476957818425,0.03224820597136418,54.85957145910202,4328968783.837741
406,30.282343009621805,0.03196691500033807,55.58751644495712,4386410922.671566
405,30.557610130050993,0.03168807764209438,56.325140620427206,4444616846.357911
404,30.83529944716688,0.03141167249453949,57.072573123647736,4503596745.187043
403,31.115432274945405,0.03113767834226357,57.82994482528851,4563360946.163516
402,31.39803011491359,0.030866074154912153,58.5973883520069,4623919914.856865
401,31.683114657799905,0.030596839085571897,59.37503811022289,4685284257.277688
400,31.970707785199068,0.030329952469170578,60.16303031022044,4747464721.779495
399,32.26083157125157,0.030065393820890903,60.96150299058011,4810472200.986676
398,32.55350828433803,0.02980314283459819,61.77059604294752,4874317733.748988
397,32.84876038878833,0.029543179381281818,62.59045123714198,4939012507.122873
396,33.14661054660592,0.029285483507510153,63.42121224661082,5004567858.38006
395,33.44708161920719,0.029030035433899124,64.26302467423321,5070995277.043742
394,33.75019666917618,0.028776815553594015,65.11603607847942,5138306406.952811
393,34.05597896203482,0.0285258044307645,65.9803959999304,5206513048.354507
392,34.3644519680286,0.02827698279911293,66.8562559881614,5275627160.025816
391,34.675639363928006,0.028030331560395524,67.74376962899696,5345660861.4241495
390,34.9895650348459,0.027785831782956467,68.64309257214074,5416626434.867626
389,35.30625307607076,0.027543464700274845,69.55438255918617,5488536327.74538
388,35.62572779491615,0.027303211709524183,70.47779945201333,5561403154.758371
387,35.94801371258637,0.027065054370144642,71.41350526157731,5635239700.191066
386,36.27313556605859,0.026828974402427607,72.3616641770935,5710058920.214448
385,36.6011183099816,0.02659495368611257,73.32244259562614,5785873945.220859
384,36.931987118591074,0.026362974258996412,74.2960091520844,5862698082.19098
383,37.26576738764192,0.026133018315554646,75.28253474963336,5940544817.093568
382,37.60248473635746,0.025905068205574793,76.28219259052464,6019427817.318299
381,37.94216500939586,0.02567910643280164,77.2951582073531,6099360934.142233
380,38.28483427883384,0.02545511565359427,78.32160949474567,6180358205.230381
379,38.63051884616778,0.025233078675594947,79.36172674148783,6262433857.170805
378,38.97924524433253,0.02501297845640946,80.41569266309496,6345602308.044824
377,39.331040239737945,0.024794798102299023,81.48369243483413,6429878170.032761
376,39.68593083432329,0.024578520866883655,82.56591372520269,6515276252.055744
375,40.04394426762978,0.024364130149856777,83.66254672987063,6601811562.454091
374,40.40510801889139,0.024151609495711074,84.77378420609297,6689499311.702796
373,40.769449809143936,0.02394094259247546,85.89982150759877,6778354915.164619
372,41.136997603352924,0.023732113270463012,87.04085661996415,6868393995.881371
371,41.50777961255984,0.023525105501029948,88.19709019647486,6959632387.4038315
370,41.88182429604755,0.023319903395345305,89.36872559448712,7052086136.660978
369,42.25916036352477,0.02311649120317137,90.55596891229273,7145771506.8690195
368,42.63981677732952,0.022914853311654843,91.75902902649534,7240704980.480747
367,43.023822754652215,0.022714974244128425,92.97811762990636,7336903262.175911
366,43.411207769778215,0.022516838658922917,94.21344926996696,7434383281.893093
365,43.80200155635006,0.022320431348189708,95.46524138770366,7533162197.903695
364,44.1962341096498,0.022125737236733427,96.73371435722622,7633257399.928721
363,44.59393568890111,0.021932741380854933,98.0190915257737,7734686512.298803
362,44.99513681959191,0.021741428967204286,99.32159925431837,7837467397.158262
361,45.3998682958174,0.021551785311643708,100.64146695873464,7941618157.713751
360,45.80816118264355,0.021363795858120562,101.97892715154063,8047157141.528071
359,46.220046818491525,0.0211774461775501,103.33421548422147,8154102943.859917
358,46.635556817543076,0.020992721966707924,104.70757079014226,8262474411.050125
357,47.05472307216708,0.02080960904713219,106.09923512805895,8372290643.955132
356,47.477577755367435,0.020628093364035295,107.50945382623628,8483571001.428305
355,47.90415332325244,0.020448160985225162,108.9384755271804,8596335103.849806
354,48.33448251752599,0.020269798100035846,110.38655223299651,8710602836.705755
353,48.76859836800073,0.020092991018267475,111.85393935137947,8826394354.217354
352,49.20653419513311,0.01991772616913552,113.34089574224625,8943730083.02065
351,49.64832361258096,0.019743990100229133,114.8476837650204,9062630725.89776
350,50.09400052978354,0.01957176947647862,116.37456932657754,9183117265.560234
349,50.54359915456415,0.019401051079131922,117.92182192986053,9305210968.485294
348,50.99715399575587,0.019231821804739972,119.48971472317585,9428933388.805807
347,51.45469986585018,0.019064068664150998,121.0785245501787,9554306372.2546
346,51.916271883668955,0.018897778781513528,122.68853200055842,9681352060.164064
345,52.381905477060165,0.01873293939328806,124.32002146143458,9810092893.521803
344,52.85163638561695,0.018569537847267472,125.97328116947158,9940551617.083002
343,53.32550066342088,0.01840756160160586,127.64860326372545,10072751283.540575
342,53.80353468180932,0.018246998223855903,129.34628383923095,10206715257.753714
341,54.28577513216699,0.018087835390014614,131.06662300134062,10342467221.035788
340,54.77225902874235,0.017930060883577407,132.80992492082694,10480031175.502455
339,55.26302371148852,0.01777366259460042,134.5764978897579,10619431448.480795
338,55.75810684892926,0.017618628518771058,136.36665437815734,10760692696.980396
337,56.257546441050394,0.01746494675648653,138.18071109146297,10903839912.227343
336,56.76138082221619,0.0173126055119406,140.01898902879003,11048898424.261822
335,57.26964866411201,0.017161593092218094,141.8818135420174,11195893906.600594
334,57.78238897871246,0.017011897906397466,143.76951439570323,11344852380.964941
333,58.29964112127551,0.016863508464661184,145.6824258278444,11495800222.075203
332,58.8214447933636,0.016716413377413728,147.6208866114937,11648764162.512966
331,59.34784004589051,0.016570601354407494,149.58524011724256,11803771297.651611
330,59.878867282195806,0.016426061203876123,151.57583437658775,11960849090.65654
329,60.4145672611458,0.016282781831675537,153.5930221461898,12120025377.555838
328,60.95498110026209,0.016140752240432363,155.63716097303976,12281328372.382566
327,61.50015027887734,0.015999961528699903,157.70861326054433,12444786672.389553
326,62.05011664131914,0.015860398890121353,159.80774633554668,12610429263.337988
325,62.604922400121886,0.01572205361260033,161.93493251629354,12778285524.860723
324,63.16461013926656,0.01558491507747873,164.09054918136295,12948385235.90135
323,63.7292228174495,0.015448972758721634,166.27497883956798,13120758580.230309
322,64.29880377137927,0.015314216222109479,168.4886092008483,13295436152.038939
